CircleID,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12
West Bengal (+Kolkatak) + Sikkim + Andaman Islands,0,0,0,0,4,4,14,25,32,32,32,32
Delhi,10,19,30,48,318,710,914,1072,1215,1216,1216,1216
Assam,0,0,0,0,95,162,348,450,479,480,480,480
Himachal Pradesh,1,1,1,1,82,115,132,159,164,164,165,166
Uttar Pradesh (East),162,371,696,995,1419,1868,2809,3494,3762,3763,3764,3764
Uttar Pradesh West and Uttrakhand,12,39,54,75,119,213,403,494,519,519,519,519
Maharashtra (+Mumbai),2,5,6,47,436,1021,1428,1935,2097,2102,2103,2105
Madhya Pradesh + Chhatisgarh,17,521,850,1337,2648,4661,6434,8134,8840,8848,8856,8861
Punjab,0,0,57,125,197,263,317,393,411,411,411,411
Karnataka,1,4,6,8,8,8,9,12,18,18,18,18
Andhra Pradesh,1,15,19,29,54,61,87,111,128,128,128,128
Rajasthan,1,12,98,461,1330,1850,2177,2544,2641,2646,2647,2647
Tamilnadu (+ Chennai),0,0,0,0,3,4,33,73,79,79,80,80
Jammu and Kashmir,0,180,266,285,295,351,372,414,418,418,418,418
Haryana,2,2,2,2,15,163,255,287,306,306,306,306
Orrisa,0,1,1,1,69,80,126,209,215,217,217,217
"North East India Telecom Circle (includes Arunachal Pradesh, Meghalaya, Mizoram, Nagaland, Manipur and Tripura).",0,0,0,0,1,5,5,5,6,6,6,6
Not Defined,22,202,350,511,844,1132,1414,1696,1896,1898,1903,1921
Bihar and Jharkhand,0,15,44,203,449,676,795,922,6664,6665,6665,665
Gujrat,0,0,0,55,143,247,368,425,489,493,495,499
